,x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence
0,0.00279,0.677647059,0.343478261,0.446575342,1.122807018,0.6574901244525843,0.019565,pi+,x
1,0.01706,0.503529412,0.360869565,0.397260274,1.473684211,1.1056915533156797,0.01304,pi+,x
2,0.11312,0.470588235,0.365217391,0.37260274,2.526315789,0.7007241291491116,0.01304,pi+,x
3,0.88395,0.456470588,0.356521739,0.356164384,4.596491228,-0.04645356130273064,0.021425,pi+,x
4,0.104255319,0.38169,0.369565217,0.356164384,2.0,0.7784979497946042,0.016875,pi+,y
5,0.085106383,0.49384,0.365217391,0.397260274,2.315789474,0.6941678385473811,0.01219,pi+,y
6,0.074468085,0.61544,0.356521739,0.421917808,2.526315789,0.5950403321710417,0.01219,pi+,y
7,0.065957447,0.76339,0.339130435,0.446575342,2.666666667,0.459161492459809,0.0178125,pi+,y
8,0.089361702,0.128571429,0.2675,0.339726027,2.310344828,0.8138161420943439,0.013045,pi+,z
9,0.091489362,0.126190476,0.345,0.389041096,2.344827586,0.8244796159019356,0.012115,pi+,z
10,0.091489362,0.123809524,0.4475,0.438356164,2.275862069,0.8516424179670086,0.012115,pi+,z
11,0.089361702,0.122619048,0.5475,0.463013699,2.206896552,0.8557035284752742,0.01118,pi+,z
12,0.091489362,0.119047619,0.6675,0.512328767,2.206896552,0.855019924859844,0.01118,pi+,z
13,0.095744681,0.117857143,0.317391304,0.13858,2.310344828,0.33560315837032423,0.016875,pi+,phT
14,0.093617021,0.122619048,0.334782609,0.27559,2.310344828,0.6268237786318356,0.01125,pi+,phT
15,0.091489362,0.125,0.360869565,0.41732,2.310344828,0.8647594565258705,0.01313,pi+,phT
16,0.085106383,0.132142857,0.395652174,0.57795,2.275862069,1.0433905385163822,0.013125,pi+,phT
17,0.074468085,0.142857143,0.452173913,0.79527,2.172413793,1.1515224845743266,0.015,pi+,phT
18,0.024697829,0.67764706,0.343478261,0.446575342,1.122807018,0.8306243631343865,0.024528302,pi-,x
19,0.070282045,0.50352941,0.360869565,0.397260274,1.473684211,0.8158820704617346,0.017924528,pi-,x
20,0.220434628,0.47058824,0.365217391,0.37260274,2.526315789,0.6371160398505813,0.01509434,pi-,x
21,0.725838772,0.45647059,0.356521739,0.356164384,4.596491228,-0.013484528245913719,0.050943396,pi-,x
22,0.104255319,0.372972973,0.369565217,0.356164384,2.0,0.7709546666026877,0.018867925,pi-,y
23,0.085106383,0.521621622,0.365217391,0.397260274,2.315789474,0.6662088815251299,0.01509434,pi-,y
24,0.074468085,0.648648649,0.356521739,0.421917808,2.526315789,0.5535574202977221,0.011320755,pi-,y
25,0.065957447,0.772972973,0.339130435,0.446575342,2.666666667,0.4257247607589289,0.022641509,pi-,y
26,0.089361702,0.128571429,0.265,0.339726027,2.310344828,0.6915151505388155,0.014150943,pi-,z
27,0.091489362,0.126190476,0.345,0.389041096,2.344827586,0.7872340554904629,0.01509434,pi-,z
28,0.091489362,0.123809524,0.445,0.438356164,2.275862069,0.901006704766235,0.013207547,pi-,z
29,0.089361702,0.122619048,0.5475,0.463013699,2.206896552,0.9622726601529733,0.01509434,pi-,z
30,0.091489362,0.119047619,0.6675,0.512328767,2.206896552,1.2615654668757659,0.014150943,pi-,z
31,0.09574468,0.117857143,0.317391304,0.133858268,2.310344828,0.2970377986577931,0.021698113,pi-,phT
32,0.09361702,0.122619048,0.334782609,0.275590551,2.310344828,0.5895230525480469,0.014150943,pi-,phT
33,0.09148936,0.125,0.360869565,0.417322835,2.310344828,0.8437476705539547,0.020754717,pi-,phT
34,0.08510638,0.132142857,0.395652174,0.577952756,2.275862069,1.0637560264049153,0.023584906,pi-,phT
35,0.07446809,0.142857143,0.452173913,0.8,2.172413793,1.2462274413928986,0.032075472,pi-,phT
36,0.018061622,0.461176471,0.404255319,0.41369863,1.379310345,0.5412504826508042,0.019354839,k+,x
37,0.120526094,0.432941176,0.408510638,0.397260274,2.379310345,0.6507770960957534,0.014516129,k+,x
38,0.91087642,0.437647059,0.408510638,0.347945205,4.413793103,0.020795781305341408,0.019354839,k+,x
39,0.095744681,0.371621622,0.417021277,0.389041096,1.862068966,0.7477346486035636,0.020967742,k+,y
40,0.091489362,0.517567568,0.408510638,0.405479452,2.482758621,0.5978560650768926,0.017741935,k+,y
41,0.082978723,0.647297297,0.370212766,0.421917808,2.862068966,0.4834713957453295,0.043548387,k+,y
42,0.091489362,0.456470588,0.348091603,0.380821918,2.206896552,0.6353173422400927,0.014516129,k+,z
43,0.095744681,0.437647059,0.447328244,0.41369863,2.172413793,0.6967348101023331,0.020967742,k+,z
44,0.093617021,0.414117647,0.548091603,0.421917808,2.034482759,0.7377893962312188,0.022580645,k+,z
45,0.10212766,0.432941176,0.395744681,0.275294118,2.310344828,0.4794196680735221,0.017741935,k+,phT
46,0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,0.6982452817112456,0.016129032,k+,phT
47,0.080851064,0.461176471,0.421276596,0.585882353,2.0,0.8964206241486069,0.020967742,k+,phT
48,0.01750827,0.461176471,0.404255319,0.41369863,1.379310345,0.39805464990183875,0.025806452,k-,x
49,0.116833549,0.432941176,0.408510638,0.397260274,2.379310345,0.6028976337860792,0.022580645,k-,x
50,0.882969996,0.437647059,0.408510638,0.347945205,4.413793103,0.06167399235807118,0.069354839,k-,x
51,0.095744681,0.375757576,0.417021277,0.389041096,1.862068966,0.7165991606508006,0.037096774,k-,y
52,0.091489362,0.517171717,0.408510638,0.405479452,2.482758621,0.571793639468053,0.029032258,k-,y
53,0.082978723,0.646464646,0.370212766,0.421917808,2.862068966,0.4608923604243321,0.043548387,k-,y
54,0.091489362,0.45647059,0.346564885,0.380821918,2.206896552,0.6034047314190232,0.027419355,k-,z
55,0.095744681,0.43764706,0.445801527,0.41369863,2.172413793,0.6702912499213288,0.027419355,k-,z
56,0.093617021,0.41411765,0.546564885,0.421917808,2.034482759,0.7311574778244473,0.04516129,k-,z
57,0.10212766,0.432941176,0.395744681,0.277647059,2.310344828,0.45716465949554924,0.024193548,k-,phT
58,0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,0.6680744787443376,0.030645161,k-,phT
59,0.080851064,0.461176471,0.421276596,0.588235294,2.0,0.8649663961369487,0.040322581,k-,phT
